vehicle_id,listing_date,manufacture_year,brand,vehicle_type,battery_capacity_kwh,battery_health_pct,range_km,km_driven,charging_time_hr,fast_charging,owner_count,city,service_history,resale_price
EV-20850,2025-08-13,2020,E-Motion,Hatchback,66.6,92.8,310,23642,6.8,Yes,1,Pune,Complete,1679783
EV-20734,2025-08-14,2022,GreenDrive,Sedan,66.4,85,451,49434,7.4,Yes,2,Hyderabad,Missing,1518423
EV-20831,2025-08-15,2022,E-Motion,Hatchback,46.2,90.1,231,10518,5.2,Yes,1,Chennai,Complete,1602836
EV-20198,2025-08-16,2021,Voltix,Hatchback,69.4,87.3,433,18423,7.9,Yes,1,Delhi,Complete,1647071
EV-20720,2025-08-17,2025,Nexora,Sedan,,93.3,413,45554,4.7,Yes,1,Pune,Complete,1781506
EV-20749,2025-08-18,2017,GreenDrive,SUV,74.1,90.1,373,37499,9.3,Yes,1,Delhi,,1524016
EV-20202,2025-08-19,2024,Nexora,SUV,,90.4,427,18361,4.2,No,1,Pune,Complete,1822516
EV-20419,2025-08-20,2021,E-Motion,Sedan,65.8,98.9,529,61785,8.9,Yes,2,Pune,Partial,1798488
EV-20228,2025-08-21,2019,GreenDrive,Crossover,51.2,84.5,461,91143,6.9,Yes,1,Delhi,Complete,1464345
EV-20639,2025-08-22,2019,Nexora,Sedan,83.9,95,293,20769,6.6,No,1,Hyderabad,Complete,1743755
EV-20780,2025-08-23,2017,Nexora,Sedan,59.4,75.8,154,149374,6.1,No,3,Pune,Missing,915109
EV-20379,2025-08-24,2017,GreenDrive,Crossover,56.5,99.5,351,24400,8.4,Yes,1,Mumbai,Complete,1738425
EV-20342,2025-08-25,2017,Nexora,Crossover,62.5,89.4,398,13577,4.1,No,3,Bengaluru,Complete,1645310
EV-20910,2025-08-26,2020,Nexora,Crossover,49,96.7,442,27552,4,No,1,Pune,,1800390
EV-20939,2025-08-27,2024,GreenDrive,Sedan,39.3,98.7,336,39308,7,Yes,4,Chennai,Complete,1363604
EV-20877,2025-08-28,2021,Voltix,Sedan,61.1,86.3,386,39319,6,Yes,1,Mumbai,Complete,1578242
EV-20123,2025-08-29,2023,E-Motion,Crossover,44.1,100,448,39332,6.5,Yes,3,Chennai,Complete,1677668
EV-20081,2025-08-30,2019,Voltix,Hatchback,76.1,98.8,460,23514,7,Yes,2,Delhi,Partial,1827252
EV-20807,2025-08-31,2023,Atheron,Crossover,66,86.4,374,12495,6.1,Yes,1,Delhi,Complete,1859545
EV-20339,2025-09-01,2024,E-Motion,SUV,89,100,447,21096,3.3,Yes,1,Chennai,Partial,1942816
EV-20242,2025-09-02,2016,E-Motion,Crossover,65.8,96.2,236,56372,6.5,No,2,Hyderabad,Complete,1544726
EV-20645,2025-09-03,2017,Atheron,Sedan,61.9,88.1,393,50925,7,Yes,2,Hyderabad,Complete,1499174
EV-20843,2025-09-04,2016,Atheron,Crossover,83,82.5,353,17937,4,No,2,Delhi,Complete,1590284
EV-20347,2025-09-05,2020,Voltix,Sedan,46.6,83.1,413,43085,6.5,No,1,Pune,Complete,1489961
EV-20643,2025-09-06,2023,Voltix,SUV,53.8,89.7,312,65896,6.7,Yes,3,Pune,Complete,1571842
EV-20679,2025-09-07,2018,Nexora,Sedan,66.3,83.4,230,44058,3,No,2,Pune,Complete,1424551
EV-20270,2025-09-08,2021,GreenDrive,Hatchback,39.3,82,371,39113,3.6,Yes,2,Delhi,Partial,1375218
EV-20778,2025-09-09,2018,E-Motion,Crossover,72.5,90.9,285,116021,7.3,No,1,Chennai,Complete,1448589
EV-20370,2025-09-10,2025,E-Motion,Crossover,67.8,87.4,334,94117,9.4,Yes,2,Bengaluru,Complete,1589622
EV-20464,2025-09-11,2023,Voltix,SUV,50.3,87.2,399,72371,5.2,Yes,1,Chennai,Complete,1712699
EV-20048,2025-09-12,2022,E-Motion,Sedan,45.9,88.2,,46298,6.4,No,1,Pune,Complete,1650810
EV-20583,2025-09-13,2021,E-Motion,Hatchback,56.2,91.4,412,27568,7.2,No,2,Mumbai,Partial,1535603
EV-20803,2025-09-14,2017,GreenDrive,Crossover,47.8,92.4,397,121088,4.9,No,2,Pune,,1246861
EV-20908,2025-09-15,2017,E-Motion,Sedan,57.9,89.3,387,31784,6.8,Yes,4,Pune,Complete,1557225
EV-20121,2025-09-16,2020,E-Motion,Hatchback,66.6,93.6,430,16906,9.4,Yes,2,Mumbai,Complete,1635392
EV-20924,2025-09-17,2022,Voltix,Hatchback,66.6,95.6,276,51699,5.7,No,3,Hyderabad,Partial,1548035
EV-20468,2025-09-18,2017,GreenDrive,Hatchback,67.9,89.7,470,43671,6.4,Yes,1,Chennai,Complete,1678843
EV-20160,2025-09-19,2025,GreenDrive,Sedan,52.3,91.7,303,59405,2.7,Yes,1,Chennai,Partial,1615621
EV-20815,2025-09-20,2024,Nexora,Crossover,56.9,92.1,436,41051,8.2,Yes,3,Hyderabad,Complete,1713871
EV-20535,2025-09-21,2022,Voltix,Sedan,54.6,89.8,360,54354,4.3,No,3,Delhi,Complete,1598877
EV-20657,2025-09-22,2022,Voltix,Crossover,47.8,95.3,359,43076,3.8,No,3,Delhi,Partial,1561915
EV-20439,2025-09-23,2022,E-Motion,Hatchback,38.9,92.8,397,107760,5.8,Yes,1,Delhi,Partial,1409107
EV-20612,2025-09-24,2018,Nexora,Hatchback,47.4,89.3,522,53638,9.1,Yes,1,Hyderabad,Complete,1597862
EV-20551,2025-09-25,2023,Voltix,Sedan,61.5,89.5,366,27193,2.3,No,1,Pune,Complete,1795031
EV-20229,2025-09-26,2019,GreenDrive,Crossover,44.8,94.3,411,42323,6.9,No,1,Pune,Complete,1549464
EV-20597,2025-09-27,2016,Nexora,SUV,59.2,88.1,208,33340,6.9,Yes,1,Mumbai,Complete,1521875
EV-20337,2025-09-28,2023,Voltix,Sedan,76.4,91.5,245,24524,2.3,Yes,1,Delhi,Complete,1766877
EV-20539,2025-09-29,2025,Voltix,Hatchback,42.9,94.3,324,14152,4.9,No,1,Bengaluru,Complete,1723377
EV-20147,2025-09-30,2024,Nexora,SUV,54.9,78.4,313,101904.7097,6.8,Yes,1,Chennai,Complete,1557841
EV-20030,2025-10-01,2025,GreenDrive,SUV,62.4,97,448,33033,4.3,No,1,Delhi,Complete,1876702
EV-20333,2025-10-02,2021,Nexora,SUV,51.4,97.6,387,19852,7.2,Yes,2,Bengaluru,Partial,1754559
EV-20954,2025-10-03,2016,Atheron,Sedan,43.7,84.5,312,52332,7.9,Yes,1,Delhi,Complete,1315071
EV-20451,2025-10-04,2019,E-Motion,Hatchback,58.7,95.7,418,40645,7.1,No,1,Delhi,Partial,1688157
EV-20187,2025-10-05,2018,E-Motion,SUV,43.6,95,422,24296,8.2,Yes,2,Pune,Partial,1599289
EV-20272,2025-10-06,2022,E-Motion,Sedan,41.5,94.7,324,68338,7.4,Yes,1,Delhi,Complete,1490097
EV-20897,2025-10-07,2019,Atheron,SUV,85.3,90.3,340,18530,6.5,No,1,Pune,Complete,1782051
EV-20544,2025-10-08,2024,E-Motion,Sedan,38,93.9,511,67782,3.1,Yes,2,Chennai,Complete,1604620
EV-20450,2025-10-09,2022,E-Motion,Sedan,59,86.7,457,13290,7.3,No,3,Pune,Partial,1599991
EV-20050,2025-10-10,2016,Voltix,Hatchback,48.2,96.6,333,106494,7.5,Yes,2,Mumbai,Missing,1332038
EV-20025,2025-10-11,2018,Voltix,SUV,58.2,89.1,292,123883,6.3,Yes,1,Pune,Partial,1366653
EV-20695,2025-10-12,2016,Atheron,Hatchback,64.3,88.3,350,84733,4.7,Yes,2,Chennai,Complete,1342958
EV-20885,2025-10-13,2024,GreenDrive,SUV,62.9,94.2,436,69033,5.3,Yes,1,Pune,Partial,1752860
EV-20136,2025-10-14,2025,GreenDrive,Hatchback,34.3,87.5,343,22342,7,Yes,1,Mumbai,Partial,1482108
EV-20162,2025-10-15,2019,GreenDrive,SUV,61.9,98.5,409,32028,9.5,Yes,1,Delhi,Partial,1700988
EV-20566,2025-10-16,2023,GreenDrive,Hatchback,75.6,90.7,460,20461,7.9,Yes,1,Hyderabad,Partial,1822703
EV-20517,2025-10-17,2025,Voltix,Crossover,64.5,92.6,552,118854,8.1,Yes,1,Pune,Partial,1737292
EV-20314,2025-10-18,2016,E-Motion,Sedan,61.9,95.1,410,85335,6.7,Yes,2,Bengaluru,Complete,1549507
EV-20440,2025-10-19,2018,GreenDrive,Hatchback,57.5,85.9,308,58192,7.7,No,1,Chennai,Complete,1249191
EV-20839,2025-10-20,2016,Nexora,Sedan,65.5,92.3,402,20730,5.5,No,1,Delhi,Complete,1635141
EV-20640,2025-10-21,2025,Atheron,Hatchback,47,93.2,353,63468,5.2,No,1,Pune,Complete,1587680
EV-20364,2025-10-22,2023,E-Motion,Sedan,47,89.4,264,56504,4,Yes,2,Hyderabad,Partial,1431185
EV-20545,2025-10-23,2019,Nexora,Hatchback,79.7,81.6,376,47150,8.8,No,1,Mumbai,Complete,1487708
EV-20255,2025-10-24,2022,Voltix,SUV,46.3,90.1,400,103387,8.6,No,1,Hyderabad,Complete,1517690
EV-20745,2025-10-25,2023,Nexora,Hatchback,58.7,91.5,469,47439,5,No,1,Chennai,Partial,1739698
EV-20171,2025-10-26,2022,Nexora,Crossover,48.2,97.1,444,15879,5.8,No,1,Pune,Complete,1754366
EV-20587,2025-10-27,2024,Voltix,Sedan,49.1,87.2,401,85208,6.4,Yes,1,Mumbai,Complete,1570074
EV-20297,2025-10-28,2016,GreenDrive,Hatchback,63.4,86.5,304,44065,4.5,Yes,2,Hyderabad,Complete,1528590
EV-20741,2025-10-29,2022,E-Motion,Crossover,72.6,,222,77649,6.8,No,2,Pune,Partial,1388467
EV-20390,2025-10-30,2018,E-Motion,Hatchback,46.3,97.3,366,19814,7.1,No,2,Bengaluru,Complete,1447092
EV-20476,2025-10-31,2022,E-Motion,Sedan,56,94,384,20798,4.4,Yes,1,Bengaluru,Partial,1728359
EV-20230,2025-11-01,2017,GreenDrive,Crossover,36.6,87.5,406,30322,4.5,Yes,1,Chennai,Complete,1530111
EV-20377,2025-11-02,2023,E-Motion,SUV,59.2,89.2,447,24795,6.9,Yes,1,Pune,Complete,1913585
EV-20133,2025-11-03,2022,E-Motion,Sedan,33,92.6,402,78607,3.6,Yes,2,Hyderabad,,1432675
EV-20681,2025-11-04,2023,E-Motion,Crossover,66.9,100,250,54108,2,Yes,1,Chennai,Partial,1702280
EV-20478,2025-11-05,2025,GreenDrive,Crossover,54.6,92.5,396,29913,4.7,No,2,Pune,Partial,1710326
EV-20835,2025-11-06,2021,GreenDrive,Sedan,44.3,90.6,390,35428,10,Yes,3,Mumbai,Missing,1492825
EV-20358,2025-11-07,2021,Atheron,Hatchback,48.9,96.6,417,94652,7.9,Yes,1,Hyderabad,Complete,1503175
EV-20813,2025-11-08,2021,Atheron,Hatchback,52.5,86.7,358,33564,4.1,Yes,1,Delhi,Partial,1514520
EV-20511,2025-11-09,2024,GreenDrive,Crossover,57.5,99.8,405,22841,5.6,Yes,1,Mumbai,,1742108
EV-20003,2025-11-10,2017,Atheron,Hatchback,62.6,97.2,290,77298,4.5,Yes,1,Bengaluru,Complete,1479957
EV-20268,2025-11-11,2023,Atheron,Hatchback,45.1,92.4,418,16957,,No,1,Mumbai,,1542651
EV-20635,2025-11-12,2017,Nexora,Hatchback,82.2,94.3,331,38760,8.2,Yes,2,Mumbai,Partial,1615572
EV-20523,2025-11-13,2018,Atheron,Hatchback,51,90,429,7881,6.4,Yes,1,Delhi,Complete,1613259
EV-20179,2025-11-14,2016,E-Motion,SUV,47,86.9,395,19265,7.3,Yes,1,Pune,Complete,1590466
EV-20491,2025-11-15,2018,GreenDrive,Hatchback,37.6,94.1,313,41435,6.8,Yes,1,Bengaluru,Complete,1326376
EV-20656,2025-11-16,2024,GreenDrive,Sedan,35,94.5,304,18672,7.3,Yes,1,Chennai,Partial,1489790
EV-20892,2025-11-17,2024,Voltix,Hatchback,41.9,91.4,337,32161,3.8,No,1,Bengaluru,Complete,1568321
EV-20425,2025-11-18,2025,Voltix,Hatchback,74.1,86.5,319,44125,8.3,Yes,1,Mumbai,Partial,1677987
EV-20893,2025-11-19,2019,GreenDrive,Sedan,67.8,93,256,53251,2.7,Yes,1,Pune,Missing,1539774
EV-20166,2025-11-20,2025,E-Motion,SUV,74.9,85.3,439,22779,8.6,Yes,1,Chennai,Partial,1949518
EV-20259,2025-11-21,2017,Atheron,Crossover,51.3,94.4,362,25055,5.7,No,2,Pune,Complete,1567272
EV-20043,2025-11-22,2018,Nexora,Sedan,41.4,85.3,378,22273,6.3,No,2,Pune,Partial,1405715
EV-20883,2025-11-23,2020,Atheron,Sedan,67.7,88.8,321,58313,3.2,Yes,1,Bengaluru,Complete,1523711
EV-20871,2025-11-24,2020,Atheron,Sedan,42.4,95.4,434,16541,2.6,Yes,1,Pune,Complete,1712128
EV-20520,2025-11-25,2021,Nexora,SUV,57.3,92.1,366,33688,7.5,Yes,1,Chennai,Complete,1616070
EV-20596,2025-11-26,2022,Nexora,SUV,,100,400,53239,4.2,Yes,1,Delhi,Complete,2014685
EV-20134,2025-11-27,2024,GreenDrive,Sedan,79,91.2,386,69292,6.9,No,2,Pune,Partial,1553491
EV-20528,2025-11-28,2018,Nexora,SUV,64.1,93.5,150,47082,5.6,Yes,2,Pune,Complete,1607942
EV-20559,2025-11-29,2025,Nexora,SUV,54.6,92.2,340,28573,9.4,Yes,1,Pune,Partial,1740042
EV-20243,2025-11-30,2020,Voltix,Sedan,57.2,88.8,331,28972,7.2,Yes,1,Mumbai,Partial,1495658
EV-20727,2025-12-01,2024,GreenDrive,Crossover,47.7,94.1,537,46979,3.6,Yes,3,Bengaluru,Complete,1765252
EV-20260,2025-12-02,2022,Atheron,SUV,56.4,100,326,127364,8.7,Yes,3,Delhi,Missing,1417229
EV-20810,2025-12-03,2019,Atheron,Sedan,61.5,86.6,307,25437,6.5,Yes,3,Bengaluru,Complete,1525852
EV-20398,2025-12-04,2017,E-Motion,Hatchback,69,89,386,136174,4.5,Yes,2,Delhi,Partial,1323521
EV-20155,2025-12-05,2025,Nexora,Sedan,64.7,87.6,326,28518,8.2,No,1,Hyderabad,Partial,1631665
EV-20153,2025-12-06,2018,Nexora,SUV,77.90746881,89.1,309,31395,3.9,Yes,1,Chennai,Complete,1577500
EV-20868,2025-12-07,2018,Atheron,Sedan,52.2,91.9,337,103626,3.7,Yes,2,Bengaluru,Partial,1369790
EV-20353,2025-12-08,2017,E-Motion,Sedan,32.5,90.5,382,41166,8.7,Yes,2,Mumbai,Complete,1443227
EV-20886,2025-12-09,2017,Atheron,Crossover,45.1,98.8,314,28215,7.2,No,1,Mumbai,Missing,1641372
EV-20853,2025-12-10,2019,Atheron,Sedan,51.5,77,481,16117,7.4,Yes,1,Mumbai,Complete,1510736
EV-20315,2025-12-11,2024,E-Motion,Crossover,,92.5,348,34532,3.8,No,1,Bengaluru,Partial,1694795
EV-20186,2025-12-12,2025,Nexora,SUV,25.7,97.3,328,38425,8.1,Yes,3,Delhi,Complete,1671086
EV-20469,2025-12-13,2021,Voltix,Sedan,43.5,94.6,315,83472,5,Yes,3,Mumbai,Partial,1452940
EV-20180,2025-12-14,2024,E-Motion,Sedan,69.3,85.8,514,17167,4.1,Yes,3,Mumbai,Partial,1881801
EV-20079,2025-12-15,2025,Atheron,Crossover,80.7,86.1,299,110295,8,No,1,Pune,Complete,1552541
EV-20490,2025-12-16,2019,Atheron,Hatchback,36.4,89.1,471,15925,6,Yes,1,Delhi,Partial,1482799
EV-20537,2025-12-17,2023,GreenDrive,SUV,77.1,94.5,426,49448,6.3,Yes,1,Delhi,Partial,1896066
EV-20249,2025-12-18,2017,Nexora,Hatchback,,97.3,253,21057,6.4,No,2,Delhi,Complete,1601625
EV-20407,2025-12-19,2020,E-Motion,SUV,37.3,94.3,418,22085,4,Yes,2,Bengaluru,Complete,1666125
EV-20145,2025-12-20,2019,GreenDrive,Sedan,66.6,88.3,407,109367,4.3,Yes,1,Delhi,Complete,1554954
EV-20383,2025-12-21,2022,Voltix,SUV,87.6,91,322,58330,8,Yes,2,Bengaluru,Complete,1699099
EV-20985,2025-12-22,2021,Voltix,SUV,37.7,85.9,469,22169,5.8,Yes,1,Chennai,Complete,1755479
EV-20104,2025-12-23,2025,Nexora,SUV,52.1,,533,76094,5.2,No,3,Mumbai,Complete,1663154
EV-20652,2025-12-24,2016,Nexora,Crossover,58.1,88.5,349,24036,6.9,Yes,3,Pune,Complete,1564448
EV-20904,2025-12-25,2016,Atheron,Crossover,55.3,92.5,370,31221,7.1,No,2,Hyderabad,Complete,1368070
EV-20489,2025-12-26,2020,Atheron,SUV,67.7,92.4,429,46373,7.4,Yes,2,Bengaluru,Complete,1750322
EV-20068,2025-12-27,2021,E-Motion,Crossover,69,90.3,378,10579,7.2,No,3,Hyderabad,Partial,1518841
EV-20054,2025-12-28,2022,GreenDrive,Hatchback,38.4,85.5,476,30512,5,Yes,1,Chennai,,1652755
EV-20854,2025-12-29,2024,Voltix,SUV,51.9,91.2,273,6845,,Yes,1,Bengaluru,Complete,1866808
EV-20306,2025-12-30,2020,Atheron,SUV,74.9,93.9,384,65791,8.2,Yes,1,Pune,Complete,1688245
EV-20691,2025-12-31,2024,Voltix,Hatchback,50.3,89.2,262,11105,3.4,Yes,3,Bengaluru,Missing,1485297
EV-20516,2026-01-01,2017,Voltix,Crossover,77.6,92.2,347,35888,2.2,Yes,1,Chennai,Complete,1871444
EV-20351,2026-01-02,2019,GreenDrive,Crossover,62.7,85,363,34693,7.1,Yes,1,Bengaluru,Complete,1601336
EV-20796,2026-01-03,2023,Nexora,Crossover,71.9,92,281,76410,7,Yes,2,Mumbai,Complete,1628542
EV-20291,2026-01-04,2022,GreenDrive,Crossover,33.2,91,344,86706,7.1,Yes,1,Pune,Complete,1434713
EV-20841,2026-01-05,2025,GreenDrive,Crossover,48.1,95,347,33124,5.9,Yes,1,Hyderabad,Complete,1803357
EV-20923,2026-01-06,2024,GreenDrive,Crossover,57.6,93.3,309,102277,5.5,No,2,Delhi,Missing,1522030
EV-20408,2026-01-07,2019,Atheron,Crossover,57.6,89.2,401,67687,5.3,Yes,3,Bengaluru,Complete,1516086
EV-20001,2026-01-08,2018,E-Motion,SUV,52.4,100,473,27643,,Yes,2,Delhi,Partial,1830937
EV-20486,2026-01-09,2018,Voltix,SUV,67.4,91.2,355,39445,7.9,Yes,3,Pune,Complete,1503519
EV-20484,2026-01-10,2020,Nexora,Crossover,47.8,90,407,35987,2.8,Yes,1,Hyderabad,Complete,1739151
EV-20115,2026-01-11,2019,Voltix,Sedan,45.3,,420,18042,5.2,Yes,2,Pune,Partial,1646627
EV-20295,2026-01-12,2017,Nexora,Crossover,25,94.1,415,67414,5.9,Yes,1,Delhi,Partial,1514556
EV-20241,2026-01-13,2017,Voltix,Hatchback,66.7,91.2,368,109805,6.3,Yes,2,Mumbai,Complete,1420111
EV-20245,2026-01-14,2020,GreenDrive,Crossover,48.7,95.7,420,39641,7.9,Yes,4,Pune,Complete,1556729
EV-20154,2026-01-15,2018,Atheron,SUV,43.9,98.6,438,30038,4.4,Yes,3,Hyderabad,Complete,1693183
EV-20532,2026-01-16,2025,Voltix,SUV,52.7,87.3,472,78222,8,Yes,2,Pune,Missing,1548203
EV-20834,2026-01-17,2018,Voltix,Crossover,68.7,84.5,507,21530,4.6,Yes,1,Hyderabad,Complete,1850335
EV-20890,2026-01-18,2024,Atheron,Hatchback,51.2,89,285,105380,6.5,Yes,1,Hyderabad,Complete,1312465
EV-20993,2026-01-19,2024,GreenDrive,Sedan,46.7,92.1,269,14545,6.5,Yes,3,Chennai,Complete,1518944
EV-20814,2026-01-20,2020,Nexora,Hatchback,62.6,91.6,314,123774,6.5,No,2,Bengaluru,Missing,1223202
EV-20825,2026-01-21,2016,GreenDrive,Hatchback,65.7,87.7,288,33322,4.7,Yes,2,Pune,Partial,1438543
EV-20058,2026-01-22,2023,Atheron,Hatchback,39.4,94.1,298,34344,7.8,Yes,1,Delhi,Complete,1490902
EV-20071,2026-01-23,2024,Voltix,SUV,82.8,91.4,287,30284,4.6,No,1,Mumbai,Partial,1780811
EV-20572,2026-01-24,2021,Atheron,Sedan,57.1,90.3,354,80244.98504,7.2,No,2,Mumbai,Partial,1516777
EV-20300,2026-01-25,2021,Nexora,Hatchback,48.7,83.3,358,26090,4,No,1,Hyderabad,Complete,1439698
EV-20404,2026-01-26,2016,Atheron,SUV,74.4,96.4,422,23020,7,Yes,1,Delhi,Missing,1855776
EV-20928,2026-01-27,2016,Atheron,Hatchback,67.4,87.7,352,19228,5.1,Yes,1,Bengaluru,Complete,1507044
EV-20110,2026-01-28,2020,Atheron,Crossover,57,86.3,288,10404,6.8,Yes,1,Bengaluru,Missing,1514054
EV-20471,2026-01-29,2024,Voltix,Crossover,63.7,93.2,415,47016,6.7,No,2,Delhi,Partial,1750261
EV-20600,2026-01-30,2018,Atheron,Hatchback,49.9,92.4,318,119889,,Yes,3,Pune,Partial,1173496
EV-20690,2026-01-31,2019,Nexora,Sedan,33.5,94.9,438,62232,7.6,No,2,Delhi,Complete,1627428
EV-20201,2026-02-01,2018,Atheron,Sedan,69.3,94.6,359,31651,8.4,No,3,Chennai,Complete,1547066
EV-20307,2026-02-02,2023,GreenDrive,Crossover,91.7,87.4,461,24901,3.6,No,3,Hyderabad,Partial,1854584
EV-20701,2026-02-03,2019,GreenDrive,Hatchback,58.2,88,322,14726,6.3,Yes,1,Hyderabad,Complete,1468515
EV-20304,2026-02-04,2019,GreenDrive,SUV,67.8,100,563,63917,7.1,Yes,2,Chennai,Partial,1749703
EV-20101,2026-02-05,2024,GreenDrive,Hatchback,77.6,93.3,447,52271,5.9,No,1,Mumbai,Complete,1898148
EV-20015,2026-02-06,2020,Nexora,Sedan,59,,393,29809,5.7,Yes,2,Chennai,Complete,1548031
EV-20424,2026-02-07,2019,Voltix,Hatchback,41.7,90.8,453,75903,6,Yes,2,Chennai,Partial,1485749
EV-20061,2026-02-08,2020,GreenDrive,SUV,70.4,96.4,286,77695,6,No,1,Delhi,Partial,1591919
EV-20651,2026-02-09,2024,Voltix,SUV,52.1,90.8,389,108156,7.2,Yes,2,Mumbai,Complete,1592951
EV-20210,2026-02-10,2023,Voltix,Hatchback,62,81.9,367,20056,6.6,Yes,2,Hyderabad,Partial,1544528
EV-20965,2026-02-11,2022,GreenDrive,Hatchback,60.8,93,394,42906,6.6,Yes,2,Bengaluru,Complete,1611793
EV-20953,2026-02-12,2020,E-Motion,Crossover,49.8,89.1,311,11613,5.1,Yes,2,Mumbai,Complete,1575666
EV-20311,2026-02-13,2019,Voltix,SUV,56.5,93.8,435,59606,,Yes,2,Delhi,Complete,1600795
EV-20338,2026-02-14,2024,Nexora,SUV,59.2,94.9,362,41878,7.8,Yes,1,Hyderabad,Complete,1838727
EV-20601,2026-02-15,2025,GreenDrive,Crossover,62.4,87.1,396,60659,5.6,Yes,1,Hyderabad,Partial,1592273
EV-20107,2026-02-16,2019,E-Motion,SUV,51.8,88.2,357,104777,6.1,Yes,2,Hyderabad,Complete,1438290
EV-20620,2026-02-17,2024,Nexora,SUV,73.6,91.4,394,43052,8,Yes,3,Mumbai,Complete,1827056
EV-20146,2026-02-18,2017,Atheron,Crossover,47.9,91.7,321,92982,6.9,Yes,1,Pune,Partial,1323871
EV-20041,2026-02-19,2021,Nexora,SUV,49.8,98.6,368,19435,6.6,No,1,Bengaluru,Partial,1694818
EV-20692,2026-02-20,2016,E-Motion,Sedan,47.5,90.5,294,59556,6.8,Yes,1,Hyderabad,Complete,1378492
EV-20206,2026-02-21,2019,Atheron,Sedan,50.3,93.8,314,29203,3.3,No,1,Bengaluru,Partial,1537310
EV-20492,2026-02-22,2020,Nexora,Crossover,57.2,98.6,432,35839,3.8,Yes,1,Chennai,Complete,1953874
EV-20321,2026-02-23,2018,E-Motion,SUV,37.9,87.4,315,20305,4.3,Yes,2,Delhi,,1533160
EV-20642,2026-02-24,2023,Atheron,Crossover,65.3,99.6,385,52824,7.8,Yes,1,Chennai,Partial,1729101
EV-20901,2026-02-25,2018,E-Motion,Crossover,66.3,91.8,266,74527,3.4,No,1,Hyderabad,Complete,1543391
EV-20957,2026-02-26,2024,Voltix,Crossover,65,95.2,381,49808,5,Yes,4,Mumbai,Partial,1765416
EV-20919,2026-02-27,2022,Atheron,Hatchback,65.4,94.9,354,21563,6.3,Yes,3,Pune,Complete,1704403
EV-20366,2026-02-28,2018,GreenDrive,Sedan,83.3,86.5,351,25232,4.8,Yes,2,Mumbai,Complete,1727453
EV-20895,2026-03-01,2020,E-Motion,Crossover,61.6,82.3,430,28229,5.8,No,2,Mumbai,Complete,1655726
EV-20664,2026-03-02,2021,Nexora,Sedan,62.5,91.9,492,24718,6.5,Yes,1,Chennai,Missing,1786641
EV-20800,2026-03-03,2018,Voltix,Hatchback,,87.4,336,33074,7.4,Yes,2,Pune,Complete,1441937
EV-20752,2026-03-04,2019,E-Motion,Sedan,57.4,91.3,275,58040,6.8,No,2,Hyderabad,Complete,1306548
EV-20264,2026-03-05,2019,Voltix,SUV,41.6,93.4,328,20804,8.8,Yes,4,Chennai,Complete,1527681
EV-20105,2026-03-06,2017,Voltix,Crossover,58.2,100,294,46125,5.6,Yes,1,Hyderabad,Complete,1570411
EV-20869,2026-03-07,2024,E-Motion,SUV,88.6,86.4,312,74937,9.1,Yes,1,Chennai,Partial,1652095
EV-20065,2026-03-08,2017,Atheron,Hatchback,58.1,92.8,469,12049,4,Yes,3,Pune,Complete,1706521
EV-20792,2026-03-09,2023,GreenDrive,Sedan,72.7,90,462,15975,7.4,No,1,Chennai,Complete,1723902
EV-20941,2026-03-10,2024,GreenDrive,Hatchback,45.4,93.2,348,81284,6.4,Yes,2,Delhi,Partial,1463973
EV-20704,2026-03-11,2023,GreenDrive,Crossover,77,88.4,357,92184,5.5,Yes,3,Mumbai,Complete,1604270
EV-20269,2026-03-12,2023,Atheron,Sedan,49.4,87.6,428,63142,6.9,Yes,1,Hyderabad,Missing,1611866
EV-20900,2026-03-13,2022,E-Motion,Hatchback,62.4,87.5,282,123840,3.8,Yes,2,Pune,Missing,1274021
EV-20611,2026-03-14,2024,Voltix,Sedan,51.4,,319,180000,6,Yes,1,Chennai,Complete,1380599
EV-20389,2026-03-15,2016,Atheron,Sedan,59.6,87.8,228,47274,9.9,No,1,Delhi,Partial,1373451
EV-20233,2026-03-16,2021,Nexora,SUV,42,94.1,400,25605,3.8,Yes,2,Mumbai,Complete,1738687
EV-20199,2026-03-17,2025,E-Motion,Hatchback,60.1,89,408,41689,4.7,No,1,Mumbai,Complete,1776159
EV-20707,2026-03-18,2023,Atheron,Crossover,52,89.1,317,22012,3.1,No,1,Chennai,Complete,1685416
EV-20593,2026-03-19,2018,E-Motion,Sedan,46.2,89.4,377,19759,3.1,Yes,1,Pune,Missing,1467479
EV-20097,2026-03-20,2019,Nexora,Hatchback,73.8,92.3,295,39427,5.9,No,1,Delhi,,1628907
EV-20019,2026-03-21,2017,Voltix,Crossover,47,88.9,432,25304,8.4,Yes,2,Chennai,Partial,1559859
EV-20682,2026-03-22,2021,Atheron,Crossover,59.8,90.1,565,18215,3.9,Yes,1,Mumbai,Complete,1993320
EV-20648,2026-03-23,2023,Voltix,Hatchback,68.9,100,198,57869,5.5,Yes,2,Mumbai,Partial,1610910
EV-20931,2026-03-24,2025,E-Motion,Hatchback,61.8,93.4,421,23163,6,Yes,2,Mumbai,Partial,1789137
EV-20589,2026-03-25,2018,Atheron,Crossover,44,87.1,434,108019,8.3,Yes,4,Mumbai,Complete,1216945
EV-20921,2026-03-26,2016,Atheron,SUV,71.5,87.8,282,29441,3.5,No,1,Pune,Complete,1638989
